Reaction,Pvalue,Padj,Reject,FC
R04170_x_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.3660370008186807
TCM4,1.4508889103849681e-11,3.842730879806213e-11,True,0.31489148081288865
TCM32_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2777280997231981
R00703_c_reverse,0.001115801546231492,0.0015626158822224213,True,0.13290859638777122
R00924_c,1.3259673752008224e-06,2.166031867102247e-06,True,0.1809026406251185
R06266_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.46748065571342395
R08383_c_reverse,0.012298612583953778,0.016458819800513197,True,0.15782755333325785
R01151_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.27045037966781055
R06027_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.47396294310687087
R00258_p,9.54696510144592e-06,1.4977023318996947e-05,True,0.15371457005558248
R00848_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.3118814647196734
R01135_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.6951293534836245
R02313_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.33709875057205185
R01151_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.27444862712418105
R03530_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.3358768943360277
R07449_c_reverse,1.3259673752008224e-06,2.166031867102247e-06,True,0.3406867619294174
R03045_c_reverse,0.001115801546231492,0.0015626158822224213,True,0.08183811453942082
RN03_p,5.803555641539872e-10,1.2044756462605702e-09,True,0.3493799658328337
R00376N_c_reverse,0.0002704973445409677,0.00039362027378030476,True,0.16712883335778414
R00650_c,0.012298612583953778,0.016458819800513197,True,0.14359856850037292
R01863_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.17691430655211174
R01978_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.20742635178144953
R01073_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.2550358906581957
R02984_c_reverse,9.54696510144592e-06,1.4977023318996947e-05,True,0.15999769918753284
TCP30_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2179067732030371
Ex11,5.569062975843453e-05,8.42345726095318e-05,True,0.44912790697674415
R01819_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.3091332702131029
R02124_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.20734462842601264
R02017_c,1.4334782434603487e-07,2.459056173740923e-07,True,0.596958174904943
R04958_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.4707185582254165
TCM10_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.25498804922043106
R01324_m_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.3042339302048535
R00238_x,0.001115801546231492,0.0015626158822224213,True,0.0995377874799704
R01073_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.3218743993869486
R00157_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.5843146179638524
